date,ounces,id
2026-02-01,15.0,224
2026-02-02,12.0,225
2026-02-03,25.0,226
2026-02-04,0.0,227
2026-02-05,24.0,228
2026-02-06,30.0,229
2026-02-07,0.0,230
2026-02-08,0.0,231
2026-02-09,12.0,232
2026-02-10,20.0,233
2026-02-11,20.0,234
2026-02-12,12.0,235
2026-02-13,0.0,236
2026-02-14,15.0,237
2026-02-15,0.0,238
2026-02-16,0.0,239
2026-02-17,12.0,240
2026-02-18,0.0,241
2026-02-19,0.0,242
2026-02-20,12.0,243
2026-02-21,13.0,244
2026-02-22,40.0,245
2026-02-23,0.0,246
2026-02-24,0.0,247
2026-02-25,0.0,248
2026-02-26,0.0,249
2026-02-27,10.0,250
2026-02-28,0.0,251
2026-03-01,12.0,252
2026-03-02,0.0,253
2026-03-03,0.0,254
2026-03-04,0.0,255
2026-03-05,0.0,256
2026-03-06,0.0,257
2026-03-07,30.0,258
2026-03-08,36.0,259
2026-03-09,0.0,260
2026-03-10,20.0,261
2026-03-11,20.0,262
2026-03-12,0.0,263
2026-03-13,12.0,264
2026-03-14,45.0,265
2026-03-15,0.0,266
2026-03-16,0.0,267
2026-03-17,0.0,268
2026-03-18,0.0,269
2026-03-19,0.0,270
2026-03-20,0.0,271
2026-03-21,30.0,272
2026-03-22,12.0,273
2026-03-23,0.0,274
2026-03-24,25.0,275
2026-03-25,40.0,276
2026-03-26,0.0,277
